Week,Campaign status,Campaign,Currency code,Budget,Budget type,Campaign type,Impr.,Interactions,Interaction rate,Cost,Conversions,Conv. value,Conv. value / cost,Conv. rate,Avg. session duration (seconds),Avg. CPC,Cost / conv.,Bid strategy type
4/29/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,467,632","15,930",0.65%,6932.1,21.78,21959.46,3.17,0.14%,99,0.44,318.72,Maximize Conversion Value
6/10/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,058,294","14,958",0.73%,6412.68,41.82,37836.78,5.9,0.28%,100,0.43,153.42,Maximize Conversion Value
4/15/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"1,913,562","19,194",1.00%,6605.64,58.5,51673.14,7.82,0.30%,82,0.34,112.92,Maximize Conversion Value
5/13/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,417,484","13,740",0.57%,5732.4,49.8,41606.16,7.26,0.36%,101,0.42,115.08,Maximize Conversion Value
5/20/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"3,116,238","16,680",0.54%,6354.96,47.7,36759.9,5.78,0.29%,108,0.38,133.19,Maximize Conversion Value
5/27/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,794,470","16,608",0.59%,6321.72,34.68,32905.62,5.21,0.21%,87,0.38,182.18,Maximize Conversion Value
6/3/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,056,536","15,384",0.75%,6261.54,34.86,34650.12,5.53,0.23%,93,0.41,179.63,Maximize Conversion Value
6/17/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,711,166","17,718",0.65%,6463.5,32.34,31962.6,4.95,0.18%,90,0.36,199.9,Maximize Conversion Value
4/1/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"1,972,896","16,944",0.86%,6954.84,52.98,46748.22,6.72,0.31%,88,0.41,131.22,Maximize Conversion Value
6/24/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,152,908","16,482",0.77%,6329.34,38.52,47978.76,7.58,0.23%,104,0.38,164.4,Maximize Conversion Value
7/8/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"1,318,992","9,174",0.70%,4240.86,1.5,1320,0.31,0.02%,123,0.46,2827.22,Maximize Conversion Value
4/1/2019,Enabled,Collection A - Smart Search,USD,480,Daily,Search,"32,556","7,578",23.28%,870.9,185.52,94064.16,109.17,2.49%,233,0.11,4.64,Maximize Conversions
